xyz,A intrinsic (z=0) [Gpc^{-3} yr^{-1}],A observed (design LVK) [yr^{-1}],B intrinsic (z=0) [Gpc^{-3} yr^{-1}],B observed (design LVK) [yr^{-1}],C intrinsic (z=0) [Gpc^{-3} yr^{-1}],C observed (design LVK) [yr^{-1}],D intrinsic (z=0) [Gpc^{-3} yr^{-1}],D observed (design LVK) [yr^{-1}],E intrinsic (z=0) [Gpc^{-3} yr^{-1}],E observed (design LVK) [yr^{-1}],F intrinsic (z=0) [Gpc^{-3} yr^{-1}],F observed (design LVK) [yr^{-1}],G intrinsic (z=0) [Gpc^{-3} yr^{-1}],G observed (design LVK) [yr^{-1}],H intrinsic (z=0) [Gpc^{-3} yr^{-1}],H observed (design LVK) [yr^{-1}],I intrinsic (z=0) [Gpc^{-3} yr^{-1}],I observed (design LVK) [yr^{-1}],J intrinsic (z=0) [Gpc^{-3} yr^{-1}],J observed (design LVK) [yr^{-1}],K intrinsic (z=0) [Gpc^{-3} yr^{-1}],K observed (design LVK) [yr^{-1}],L intrinsic (z=0) [Gpc^{-3} yr^{-1}],L observed (design LVK) [yr^{-1}],M intrinsic (z=0) [Gpc^{-3} yr^{-1}],M observed (design LVK) [yr^{-1}],N intrinsic (z=0) [Gpc^{-3} yr^{-1}],N observed (design LVK) [yr^{-1}],O intrinsic (z=0) [Gpc^{-3} yr^{-1}],O observed (design LVK) [yr^{-1}],P intrinsic (z=0) [Gpc^{-3} yr^{-1}],P observed (design LVK) [yr^{-1}],Q intrinsic (z=0) [Gpc^{-3} yr^{-1}],Q observed (design LVK) [yr^{-1}],R intrinsic (z=0) [Gpc^{-3} yr^{-1}],R observed (design LVK) [yr^{-1}],S intrinsic (z=0) [Gpc^{-3} yr^{-1}],S observed (design LVK) [yr^{-1}],T intrinsic (z=0) [Gpc^{-3} yr^{-1}],T observed (design LVK) [yr^{-1}],U intrinsic (z=0) [Gpc^{-3} yr^{-1}],U observed (design LVK) [yr^{-1}],V intrinsic (z=0) [Gpc^{-3} yr^{-1}],V observed (design LVK) [yr^{-1}],W intrinsic (z=0) [Gpc^{-3} yr^{-1}],W observed (design LVK) [yr^{-1}],X intrinsic (z=0) [Gpc^{-3} yr^{-1}],X observed (design LVK) [yr^{-1}],Y intrinsic (z=0) [Gpc^{-3} yr^{-1}],Y observed (design LVK) [yr^{-1}],Z intrinsic (z=0) [Gpc^{-3} yr^{-1}],Z observed (design LVK) [yr^{-1}]
.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.1.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.2.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.3.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.1.1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.2.1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.1.1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.2.1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.3.1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.1.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.3.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.1.2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.2.2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.3.2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.1.2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.2.2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.3.2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.1.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.2.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.3.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.1.3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.2.3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.3.3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.1.3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.2.3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.3.3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
